view_count	title_talk	categories	duration_talk	like_count	dislike_count	average_rating	talkid	rownr	film_date	published_date	comments	description	duration_vid	event	main_speaker	name	num_speaker	speaker_occupation	title_vid	views
122295	Toby Shapshak: You don't need an app for that	['Science & Technology']	475	1945	177	4.66635227203	aT6vIq6_1OE	1697	1374019200	1394722549	140	Are the simplest phones the smartest? While the rest of the world is updating statuses and playing games on smartphones, Africa is developing useful SMS-based solutions to everyday needs, says journalist Toby Shapshak. In this eye-opening talk, Shapshak explores the frontiers of mobile invention in Africa as he asks us to reconsider our preconceived notions of innovation.	474	TEDGlobal 2013	Toby Shapshak	Toby Shapshak: You don't need an app for that	1	Technology writer	You don't need an app for that	1474261
134443	David Brooks: The social animal	['Science & Technology']	1124	1378	98	4.73441743851	rGfhahVBIQw	888	1298937600	1300114680	226	Columnist David Brooks unpacks new insights into human nature from the cognitive sciences -- insights with massive implications for economics and politics as well as our own self-knowledge. In a talk full of humor, he shows how you can't hope to understand humans as separate individuals making choices based on their conscious awareness.	1124	TED2011	David Brooks	David Brooks: The social animal	1	Op-ed columnist	The social animal	1132752
445588	Chris Urmson: How a driverless car sees the road	['Science & Technology']	929	6150	155	4.90166521072	tiwVMrTLUWg	2004	1426464000	1435331640	186	Statistically, the least reliable part of the car is ... the driver. In 2015, Chris Urmson was head of Google's driverless car program, one of several efforts to remove humans from the driver's seat. He shares fascinating footage that shows how the car sees the road and makes autonomous decisions about what to do next.	929	TED2015	Chris Urmson	Chris Urmson: How a driverless car sees the road	1	Roboticist	How a driverless car sees the road	2042978
206727	Melinda French Gates: What nonprofits can learn from Coca-Cola	['Nonprofits & Activism']	1019	1292	213	4.43388700485	GlUS6KE67Vs	787	1284940800	1286873040	322	Melinda Gates makes a provocative case: What can nonprofits learn from mega-corporations like Coca-Cola, whose global network of marketers and distributors ensures that every remote village wants -- and can get -- an ice-cold Coke? Maybe this model could work for distributing health care, vaccinations, sanitation, even condoms ...	988	TEDxChange	Melinda Gates	Melinda Gates: What nonprofits can learn from Coca-Cola	1	Philanthropist	What nonprofits can learn from Coca-Cola	1189754
312885	Donald Sadoway: The missing link to renewable energy	['Science & Technology']	915	4851	107	4.91367483139	Sddb0Khx0yA	1186	1330560000	1332775185	361	"What's the key to using alternative energy, like solar and wind? Storage -- so we can have power on tap even when the sun's not out and the wind's not blowing. In this accessible, inspiring talk, Donald Sadoway takes to the blackboard to show us the future of large-scale batteries that store renewable energy. As he says: ""We need to think about the problem differently. We need to think big. We need to think cheap."""	915	TED2012	Donald Sadoway	Donald Sadoway: The missing link to renewable energy	1	Materials engineer	The missing link to renewable energy	1803069
249085	Bring on the Learning Revolution! | Ken Robinson | TED Talks	['Education']	1074	4373	74	4.93343830109	kFMZrEABdw4	692	1265414400	1274691960	1234	In this poignant, funny follow-up to his fabled 2006 talk, Sir Ken Robinson makes the case for a radical shift from standardized schools to personalized learning -- creating conditions where kids' natural talents can flourish.	1008	TED2010	Ken Robinson	Ken Robinson: Bring on the learning revolution!	1	Author/educator	Bring on the learning revolution!	7266316
280691	Amos Winter: The cheap all-terrain wheelchair	['Science & Technology']	674	2410	98	4.8436999321	k6qTwqiHnAM	1382	1340323200	1353427357	136	How do you build a wheelchair ready to blaze through mud and sand, all for under $200? MIT engineer Amos Winter guides us through the mechanics of an all-terrain wheelchair that's cheap and easy to build -- for true accessibility -- and gives us some lessons he learned along the road.	674	TEDxBoston 2012	Amos Winter	Amos Winter: The cheap all-terrain wheelchair	1	Mechanical engineer	The cheap all-terrain wheelchair	1004016
65182	We train soldiers for war. Let's train them to come home, too | Hector Garcia	['People & Blogs']	631	1715	66	4.85176849365	ZnC_UBmeRxw	2324	1446595200	1478879643	58	Before soldiers are sent into combat, they're trained on how to function in an immensely dangerous environment. But they also need training on how to return from the battlefield to civilian life, says psychologist Hector Garcia. Applying the same principles used to prepare soldiers for war, Garcia is helping veterans suffering from PTSD get their lives back.	631	TED Talks Live	Hector Garcia	Hector Garcia: We train soldiers for war. Let's train them to come home, too	1	Psychologist	We train soldiers for war. Let's train them to come home, too	990521
37271	Josh Silver demos adjustable liquid-filled eyeglasses	['Science & Technology']	455	410	18	4.83177566528	tpKWHSsBpnE	505	1248307200	1251766800	118	Josh Silver delivers his brilliantly simple solution for correcting vision at the lowest cost possible -- adjustable, liquid-filled lenses. At TEDGlobal 2009, he demos his affordable eyeglasses and reveals his global plan to distribute them to a billion people in need by 2020.	334	TEDGlobal 2009	Joshua Silver	Joshua Silver: Adjustable liquid-filled eyeglasses	1	Optical innovator	Adjustable liquid-filled eyeglasses	751452
78230	How I defend the rule of law | Kimberley Motley	['News & Politics']	931	1443	50	4.86604166031	Td2hfdXQ5x8	1850	1412899200	1414423198	110	Every human deserves protection under their country’s laws — even when that law is forgotten or ignored. Sharing three cases from her international legal practice, Kimberley Motley, an American litigator practicing in Afghanistan and elsewhere, shows how a country’s own laws can bring both justice and “justness”: using the law for its intended purpose, to protect.	926	TEDGlobal 2014	Kimberley Motley	Kimberley Motley: How I defend the rule of law	1	International litigator	How I defend the rule of law	975953
46566	The moral dangers of non-lethal weapons | Stephen Coleman	['News & Politics']	1052	830	54	4.75565624237	X31eYIhoMNQ	1136	1316822400	1328630904	180	"Pepper spray, Tasers, tear gas, rubber bullets -- these ""non-lethal"" weapons are being used by more and more local police forces, as well as military forces brought in to control civilian crowds and other situations. Despite their name, non-lethal weapons have been known to cause deaths ... and as Stephen Coleman suggests, there are other, more insidious hazards as well. He explores the complex ethics -- and the unexpected consequences -- of using non-lethal weapons to control civilians."	1052	TEDxCanberra	Stephen Coleman	Stephen Coleman: Non-lethal weapons, a moral hazard?	1	Ethicist	Non-lethal weapons, a moral hazard?	485769
9863319	Inside the mind of a master procrastinator | Tim Urban	['People & Blogs']	844	308528	2864	4.9632105827299995	arj7oStGLkU	2161	1455580800	1458067019	310	Tim Urban knows that procrastination doesn't make sense, but he's never been able to shake his habit of waiting until the last minute to get things done. In this hilarious and insightful talk, Urban takes us on a journey through YouTube binges, Wikipedia rabbit holes and bouts of staring out the window -- and encourages us to think harder about what we're really procrastinating on, before we run out of time.	843	TED2016	Tim Urban	Tim Urban: Inside the mind of a master procrastinator	1	Blogger	Inside the mind of a master procrastinator	14745406
76961	How human noise affects ocean habitats | Kate Stafford	['Science & Technology']	711	1496	65	4.8334403038	t-K6bn9sc50	2449	1478304000	1494601475	15	Oceanographer Kate Stafford lowers us into the sonically rich depths of the Arctic Ocean, where ice groans, whales sing to communicate over vast distances -- and climate change and human noise threaten to alter the environment in ways we don't understand. Learn more about why this underwater soundscape matters and what we might do to protect it.	711	TEDxCERN	Kate Stafford	Kate Stafford: How human noise affects ocean habitats	1	Oceanographer	How human noise affects ocean habitats	975412
117744	Want kids to learn well? Feed them well | Sam Kass	['Science & Technology']	728	2278	92	4.84472560883	hfDkDzZ9GsU	2355	1446422400	1483632661	45	What can we expect our kids to learn if they're hungry or eating diets full of sugar and empty of nutrients? Former White House Chef and food policymaker Sam Kass discusses the role schools can play in nourishing students' bodies in addition to their minds.	728	TED Talks Live	Sam Kass	Sam Kass: Want kids to learn well? Feed them well	1	Food entrepreneur	Want kids to learn well? Feed them well	1345520
201571	Daniel Goleman: Why arent we all Good Samaritans?	['Science & Technology']	794	805	24	4.88419771194	r3wyCxHtGd0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
99974	Uldus Bakhtiozina: Wry photos that turn stereotypes upside down	['People & Blogs']	248	1963	168	4.68465518951	CxEqV8WtfOo	1819	1395273600	1410533943	52	Artist Uldus Bakhtiozina uses photographs to poke fun at societal norms in her native Russia. A glimpse into Russian youth culture and a short, fun reminder not to take ourselves too seriously.	243	TED2014	Uldus Bakhtiozina	Uldus Bakhtiozina: Wry photos that turn stereotypes upside down	1	photographer + visual artist	Wry photos that turn stereotypes upside down	1464877
75556	What we can do to die well | Timothy Ihrig	['People & Blogs']	812	1386	70	4.80769252777	5qaktKVL_zM	2265	1378598400	1471964679	62	"The healthcare industry in America is so focused on pathology, surgery and pharmacology -- on what doctors ""do"" to patients -- that it often overlooks the values of the human beings it's supposed to care for. Palliative care physician Timothy Ihrig explains the benefits of a different approach, one that fosters a patient's overall quality of life and navigates serious illness from diagnosis to death with dignity and compassion."	812	TEDxDesMoines	Timothy Ihrig	Timothy Ihrig: What we can do to die well	1	Palliative care physician	What we can do to die well	1279825
282195	Your body is my canvas | Alexa Meade	['People & Blogs']	424	4150	126	4.88213300705	UMn2q35HBeQ	1574	1371081600	1378480353	257	Alexa Meade takes an innovative approach to art. Not for her a life of sketching and stretching canvases. Instead, she selects a topic and then paints it--literally. She covers everything in a scene--people, chairs, food, you name it--in a mask of paint that mimics what's below it. In this eye-opening talk Meade shows off photographs of some of the more outlandish results, and shares a new project involving people, paint and milk.	424	TEDGlobal 2013	Alexa Meade	Alexa Meade: Your body is my canvas	1	Visual artist	Your body is my canvas	2682427
129968	His Holiness the Karmapa: The technology of the heart	['Science & Technology']	1557	867	230	4.16134929657	OkKhI6-t40w	757	1257292800	1283330880	215	His Holiness the Karmapa talks about how he was discovered to be the reincarnation of a revered figure in Tibetan Buddhism. In telling his story, he urges us to work on not just technology and design, but the technology and design of the heart. He is translated onstage by Tyler Dewar.	1523	TEDIndia 2009	His Holiness the Karmapa	His Holiness the Karmapa: The technology of the heart	1	Spiritual leader	The technology of the heart	800001
76377	Cameron Sinclair: A call for open-source architecture	['News & Politics']	1454	437	12	4.89309597015	PdcqEjmuxjA	10	1140912000	1153786260	79	Accepting his 2006 TED Prize, Cameron Sinclair demonstrates how passionate designers and architects can respond to world housing crises. He unveils his TED Prize wish for a network to improve global living standards through collaborative design.	1414	TED2006	Cameron Sinclair	Cameron Sinclair: My wish: A call for open-source architecture	1	Co-founder, Architecture for Humanity	My wish: A call for open-source architecture	1211416
23376	Sherwin Nuland: A meditation on hope	['Science & Technology']	757	167	26	4.46113967896	W7_Zhcd1Vlk	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48122	JP Rangaswami: Information is food	['Science & Technology']	488	875	43	4.81263637543	3A1LvXRnpVg	1225	1333929600	1336493806	92	How do we consume data? At TED@SXSWi, technologist JP Rangaswami muses on our relationship to information, and offers a surprising and sharp insight: we treat it like food.	488	TED@SXSWi	JP Rangaswami	JP Rangaswami: Information is food	1	Technologist	Information is food	655406
71814	The forgotten art of the zoetrope | Eric Dyer	['Film & Animation']	522	1844	169	4.66418266296	_B9A3J70IPQ	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43868	Ben Saunders: Three things to know before you ski to the North Pole	['Travel & Events']	1129	212	4	4.92592573166	0Bvq8Vo8F8U	38	1109203200	1161735060	57	Arctic explorer Ben Saunders recounts his harrowing solo ski trek to the North Pole, complete with engaging anecdotes, gorgeous photos and never-before-seen video.	1083	TED2005	Ben Saunders	Ben Saunders: Why did I ski to the North Pole?	1	Arctic explorer	Why did I ski to the North Pole?	745231
332825	Stanley McChrystal: Listen, learn ... then lead	['News & Politics']	939	2213	221	4.63681173325	FmpIMt95ndU	904	1299196800	1302014580	278	Four-star general Stanley McChrystal shares what he learned about leadership over his decades in the military. How can you build a sense of shared purpose among people of many ages and skill sets? By listening and learning -- and addressing the possibility of failure.	938	TED2011	Stanley McChrystal	Stanley McChrystal: Listen, learn ... then lead	1	Military leader	Listen, learn ... then lead	2467385
9732	Vinay Venkatraman: Technology crafts for the digitally underserved	['Science & Technology']	845	131	9	4.74285697937	g_3iLapiTCw	1294	1334793600	1342969159	67	"Two-thirds of the world may not have access to the latest smartphone, but local electronic shops are  adept at fixing older tech using low-cost parts. Vinay Venkatraman explains his work in ""technology crafts,"" through which a mobile phone, a lunchbox and a flashlight can become a digital projector for a village school, or an alarm clock and a mouse can be melded into a medical device for local triage."	848	TEDxSummit	Vinay Venkatraman	Vinay Venkatraman: Technology crafts for the digitally underserved	1	Designer	Technology crafts for the digitally underserved	585351
165362	The laws that sex workers really want | Juno Mac	['Nonprofits & Activism']	1071	NA	NA	4.64794301987	vc-n852sv3E	2209	1454112000	1463670567	212	"Everyone has an opinion about how to legislate sex work (whether to legalize it, ban it or even tax it) ... but what do workers themselves think would work best? Activist Juno Mac explains four legal models that are being used around the world and shows us the model that she believes will work best to keep sex workers safe and offer greater self-determination. ""If you care about gender equality or poverty or migration or public health, then sex worker rights matter to you,"" she says. ""Make space for us in your movements."" (Adult themes)"	1070	TEDxEastEnd	Juno Mac	Juno Mac: The laws that sex workers really want	1	Sex worker and activist	The laws that sex workers really want	1811102
52400	Rory Stewart: Why democracy matters	['News & Politics']	822	634	242	3.89497709274	IuQZ21spTRg	1366	1339459200	1351522817	361	The public is losing faith in democracy, says British MP Rory Stewart. Iraq and Afghanistan’s new democracies are deeply corrupt; meanwhile, 84 percent of people in Britain say politics is broken. In this important talk, Stewart sounds a call to action to rebuild democracy, starting with recognizing why democracy is important -- not as a tool, but as an ideal.	821	TEDxHousesOfParliament	Rory Stewart	Rory Stewart: Why democracy matters	1	Politician	Why democracy matters	852344
471271	Less stuff, more happiness | Graham Hill	['People & Blogs']	350	4177	173	4.84091949463	L8YJtvHGeUU	1029	1298937600	1317827330	371	Writer and designer Graham Hill asks: Can having less stuff, in less room, lead to more happiness? He makes the case for taking up less space, and lays out three rules for editing your life.	349	TED2011	Graham Hill	Graham Hill: Less stuff, more happiness	1	Journalist	Less stuff, more happiness	3729820
286608	Jack Horner: Shape-shifting dinosaurs	['Pets & Animals']	1103	3865	55	4.94387769699	kQa11RMCeSI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1241246	In the Internet age, dance evolves ... | The LXD	['Music']	1050	9225	210	4.91096973419	LIckScLypGA	631	1265068800	1267750800	216	The LXD (the Legion of Extraordinary Dancers) electrify the TED2010 stage with an emerging global street-dance culture, revved up by the Internet.  In a preview of Jon Chu's upcoming Web series, this astonishing troupe show off their superpowers.	1008	TED2010	The LXD	The LXD: In the Internet age, dance evolves ...	1	Dance adventurers	In the Internet age, dance evolves ...	2797058
580073	Naturally 7 beatbox a whole band	['Music']	237	3342	117	4.86470079422	JNJlhtNpuiU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
