id	name	count	talkid
24	'Persuasive'	45	xHsXfmHaBUo
23	'Jaw-dropping'	22	xHsXfmHaBUo
7	'Funny'	244	v9d65u3LfKs
8	'Informative'	460	v9d65u3LfKs
11	'Longwinded'	61	v9d65u3LfKs
22	'Fascinating'	356	v9d65u3LfKs
10	'Inspiring'	121	v9d65u3LfKs
1	'Beautiful'	20	v9d65u3LfKs
9	'Ingenious'	70	v9d65u3LfKs
21	'Unconvincing'	152	v9d65u3LfKs
2	'Confusing'	14	v9d65u3LfKs
3	'Courageous'	79	v9d65u3LfKs
23	'Jaw-dropping'	97	v9d65u3LfKs
26	'Obnoxious'	19	v9d65u3LfKs
25	'OK'	69	v9d65u3LfKs
24	'Persuasive'	158	v9d65u3LfKs
22	'Fascinating'	140	eneJXqmh3g0
8	'Informative'	111	eneJXqmh3g0
7	'Funny'	111	eneJXqmh3g0
10	'Inspiring'	148	eneJXqmh3g0
11	'Longwinded'	70	eneJXqmh3g0
9	'Ingenious'	165	eneJXqmh3g0
3	'Courageous'	18	eneJXqmh3g0
1	'Beautiful'	31	eneJXqmh3g0
21	'Unconvincing'	12	eneJXqmh3g0
2	'Confusing'	13	eneJXqmh3g0
24	'Persuasive'	13	eneJXqmh3g0
25	'OK'	31	eneJXqmh3g0
23	'Jaw-dropping'	34	eneJXqmh3g0
26	'Obnoxious'	3	eneJXqmh3g0
22	'Fascinating'	1768	xxXa9pxwzoY
10	'Inspiring'	1166	xxXa9pxwzoY
1	'Beautiful'	1224	xxXa9pxwzoY
9	'Ingenious'	73	xxXa9pxwzoY
8	'Informative'	880	xxXa9pxwzoY
11	'Longwinded'	61	xxXa9pxwzoY
7	'Funny'	47	xxXa9pxwzoY
3	'Courageous'	65	xxXa9pxwzoY
2	'Confusing'	15	xxXa9pxwzoY
23	'Jaw-dropping'	4971	xxXa9pxwzoY
24	'Persuasive'	78	xxXa9pxwzoY
25	'OK'	108	xxXa9pxwzoY
21	'Unconvincing'	25	xxXa9pxwzoY
26	'Obnoxious'	24	xxXa9pxwzoY
7	'Funny'	307	NA
1	'Beautiful'	414	NA
21	'Unconvincing'	200	NA
22	'Fascinating'	562	NA
9	'Ingenious'	229	NA
10	'Inspiring'	125	NA
3	'Courageous'	41	NA
11	'Longwinded'	73	NA
2	'Confusing'	67	NA
8	'Informative'	9	NA
23	'Jaw-dropping'	1153	NA
25	'OK'	533	NA
26	'Obnoxious'	110	NA
24	'Persuasive'	13	NA
22	'Fascinating'	367	DudfBIxw6do
3	'Courageous'	150	DudfBIxw6do
10	'Inspiring'	700	DudfBIxw6do
8	'Informative'	252	DudfBIxw6do
7	'Funny'	230	DudfBIxw6do
11	'Longwinded'	57	DudfBIxw6do
9	'Ingenious'	55	DudfBIxw6do
21	'Unconvincing'	33	DudfBIxw6do
2	'Confusing'	7	DudfBIxw6do
1	'Beautiful'	46	DudfBIxw6do
25	'OK'	72	DudfBIxw6do
24	'Persuasive'	44	DudfBIxw6do
23	'Jaw-dropping'	55	DudfBIxw6do
26	'Obnoxious'	12	DudfBIxw6do
8	'Informative'	278	lMkHYE9-R0A
10	'Inspiring'	173	lMkHYE9-R0A
22	'Fascinating'	448	lMkHYE9-R0A
7	'Funny'	33	lMkHYE9-R0A
21	'Unconvincing'	64	lMkHYE9-R0A
9	'Ingenious'	297	lMkHYE9-R0A
2	'Confusing'	42	lMkHYE9-R0A
3	'Courageous'	27	lMkHYE9-R0A
11	'Longwinded'	25	lMkHYE9-R0A
1	'Beautiful'	31	lMkHYE9-R0A
23	'Jaw-dropping'	106	lMkHYE9-R0A
25	'OK'	60	lMkHYE9-R0A
24	'Persuasive'	20	lMkHYE9-R0A
26	'Obnoxious'	11	lMkHYE9-R0A
2	'Confusing'	160	esBPJQihKyg
1	'Beautiful'	138	esBPJQihKyg
21	'Unconvincing'	67	esBPJQihKyg
7	'Funny'	263	esBPJQihKyg
22	'Fascinating'	121	esBPJQihKyg
10	'Inspiring'	144	esBPJQihKyg
3	'Courageous'	28	esBPJQihKyg
8	'Informative'	25	esBPJQihKyg
11	'Longwinded'	118	esBPJQihKyg
9	'Ingenious'	49	esBPJQihKyg
23	'Jaw-dropping'	15	esBPJQihKyg
24	'Persuasive'	7	esBPJQihKyg
26	'Obnoxious'	28	esBPJQihKyg
25	'OK'	67	esBPJQihKyg
8	'Informative'	454	Qn2NR901NMY
9	'Ingenious'	111	Qn2NR901NMY
22	'Fascinating'	249	Qn2NR901NMY
2	'Confusing'	128	Qn2NR901NMY
10	'Inspiring'	211	Qn2NR901NMY
11	'Longwinded'	190	Qn2NR901NMY
21	'Unconvincing'	166	Qn2NR901NMY
7	'Funny'	26	Qn2NR901NMY
1	'Beautiful'	16	Qn2NR901NMY
3	'Courageous'	19	Qn2NR901NMY
25	'OK'	154	Qn2NR901NMY
26	'Obnoxious'	21	Qn2NR901NMY
24	'Persuasive'	49	Qn2NR901NMY
23	'Jaw-dropping'	29	Qn2NR901NMY
22	'Fascinating'	3847	Rl2LwnaUA-k
8	'Informative'	2402	Rl2LwnaUA-k
7	'Funny'	673	Rl2LwnaUA-k
9	'Ingenious'	1458	Rl2LwnaUA-k
1	'Beautiful'	215	Rl2LwnaUA-k
10	'Inspiring'	969	Rl2LwnaUA-k
2	'Confusing'	25	Rl2LwnaUA-k
3	'Courageous'	77	Rl2LwnaUA-k
21	'Unconvincing'	31	Rl2LwnaUA-k
11	'Longwinded'	52	Rl2LwnaUA-k
23	'Jaw-dropping'	1775	Rl2LwnaUA-k
