startsecond	text
522.26	with Chuck Yeager's 61,
525.26	I had really a thought then.
527.26	I thought, well, the 20th century, that was brilliant.
529.26	It allowed to do all those things there.
532.26	But it will not be possible in the future any more.
535.26	It takes too much energy. It will cost too much.
538.26	It will be prohibited
540.26	because we'll have to save our natural resources
542.26	in a few decades from now.
544.26	So how can we perpetuate
546.26	this pioneering spirit
549.26	with something that will be independent from fossil energy?
553.26	And this is when the project Solar Impulse
555.26	really started to
558.26	turn in my head.
560.26	And I think it's a nice metaphor also
562.26	for the 21st century.
564.26	Pioneering spirit should continue, but on another level.
568.26	Not to conquer the planet or space,
571.26	not anymore, it has been done,
573.26	but rather to improve the quality of life.
576.26	How can we go through the ice of certainty
579.26	in order to make the most incredible a possible thing?
583.26	What is today completely impossible --
587.26	get rid of our dependency on fossil energy.
590.26	If you tell to people, we want to be independent
592.26	from fossil energy in our world,
594.26	people will laugh at you, except here,
596.26	where crazy people are invited to speak.
599.26	(Laughter)
601.26	So, the idea is that if we fly around the world
605.26	in a solar powered airplane,
607.26	using absolutely no fuel,
609.26	nobody ever could say in the future
612.26	that it's impossible to do it
614.26	for cars, for heating systems,
616.26	for computers, and so on and so on.
619.26	Well, solar power airplanes are not new.
622.26	They have flown in the past, but without
624.26	saving capabilities, without batteries.
627.26	Which means that they have more proven
629.26	the limits of renewable energies
631.26	than the potential of it.
633.26	If we want to show the potential,
635.26	we have to fly day and night.
638.26	That means to load the batteries during the flight,
641.26	in order to spend the night on the batteries,
644.26	and fly the next day again.
646.26	It has been made, already, on remote controlled
650.26	little airplane models, without pilots.
653.26	But it stays an anecdote
655.26	because the public couldn't identify to it.
658.26	I think you need a pilot in the plane
660.26	that can talk to the universities,
662.26	that can talk to students,
664.26	talk to politicians during the flight,
666.26	and really make it a human adventure.
668.26	For that, unfortunately,
670.26	four meters wingspan is not enough.
673.26	You need 64 meter wingspan.
680.26	flies slowly enough with the aerodynamic efficiency.
684.26	Why that? Because fuel is not easy to replace.
688.26	That's for sure.
690.26	And with 200 square meters of solar power on our plane,
695.26	we can produce the same energy
698.26	than 200 little lightbulbs.
700.26	That means a Christmas tree, a big Christmas tree.
704.26	So the question is, how can you carry a pilot around the world
708.26	with an airplane that uses
710.26	the same amount of energy as a big Christmas tree?
713.26	People will tell you it's impossible,
715.26	and that's exactly why we try to do it.
718.26	We launched the project with my colleague Andre Borschberg
721.26	six years ago.
723.26	We have now 70 people in the team working on it.
726.26	We have gone through the stages of simulation, design,
730.26	computing, preparing the construction
733.26	of the first prototype.
735.26	That has been achieved after two years of work.
738.26	Cockpit, propeller, engine.
740.26	Just the fuselage here, it's so light.
742.26	It's not designed by an artist, but it could be.
747.26	Couple of kilos more for the wing spars.
751.26	This is the complete structure of the airplane.
754.26	And one month ago we have unveiled it.
757.26	You cannot imagine how it is for a team
759.26	who has been working six years on it
761.26	to show that it's not only a dream and a vision,
764.26	it's a real airplane.
766.26	A real airplane that we could finally present.
769.26	And what's the goal now?
771.26	The goal is to take off,
775.26	end of this year for the first test,
777.26	but mainly next year, spring or summer,
781.26	take off, on our own power,
783.26	without additional help, without being towed,
786.26	climb to 9,000 meters altitude.
789.26	The same time we load the batteries,
791.26	we run the engines, and when we get at the maximum height,
796.26	we arrive at the beginning of the night.
798.26	And there, there will be just one goal, just one:
803.26	reach the next sunrise before the batteries are empty.
806.26	(Laughter)
809.26	And this is exactly the symbol of our world.
812.26	If our airplane is too heavy,
814.26	if the pilot wastes energy,
816.26	we'll never make it through the night.
818.26	And in our world, if we keep on spoiling,
821.26	wasting our energy resources,
823.26	if we keep on building things that consume so much energy
826.26	that most of the companies now go bankrupt,
831.26	it's clear that we'll never give the planet to the next generation
833.26	without a major problem.
835.26	So, you see that this airplane is more a symbol.
838.26	I don't think it will transport 200 people
840.26	in the next years.
842.26	But when Lindbergh crossed the Atlantic,
844.26	the payload was also just sufficient
846.26	for one person and some fuel.
850.26	And 20 years later there were 200 people
852.26	in every airplane crossing the Atlantic.
854.26	So, we have to start,
856.26	and show the example.
858.26	A little bit like on this picture here.
860.26	This is a painting from Magritte,
862.26	in the museum in Holland that I love so much.
865.26	"It's a pipe, and it's written, ""This is not a pipe."""
868.26	This is not an airplane.
871.26	This is a symbol of what we can achieve
874.26	when we believe in the impossible,
876.26	when we have a team,
878.26	when we have pioneering spirit,
881.26	and especially when we understand
883.26	that all the certainties we have
885.26	should be thrown overboard.
888.26	What pleases me very much
890.26	is that in the beginning I thought that we would have to fly
892.26	around the world with no fuel
895.26	in order to have our message been understood.
898.26	And more and more, we're invited around the world with Andre
901.26	to talk about that project, to talk about the symbol of it,
904.26	invited by politicians, invited in energy forums,
907.26	in order to show that it's not anymore
910.26	completely stupid
912.26	to think about getting rid of the dependency
914.26	on fossil energies.
916.26	So, through speeches like this one today,
919.26	through interviews, through meetings,
922.26	our goal is to get as many people possible on the team.
927.26	The success will not come
929.26	"if we ""just,"" quote, unquote,"
931.26	fly around the world in a solar-powered airplane.
933.26	No, the success will come
936.26	if enough people are motivated
938.26	to do exactly the same in their daily life,
941.26	save energy, go to renewables.
944.26	And this is possible. You know, with the technologies we have today,
947.26	we can save between 30 and 50 percent
950.26	of the energy of a country in Europe,
954.26	and we can solve half of the rest with renewables.
957.26	It leaves 25 or 30 percent for
960.26	oil, gas, coal, nuclear, or whatever.
964.26	This is acceptable.
966.26	This is why all the people who believe
970.26	in this type of spirit
972.26	are welcome to be on that team.
974.26	You can just go on SolarImpulse.com, subscribe
977.26	to just be informed of what we're doing.
979.26	But much more, to get advices,
981.26	to give your comments, to spread the word
983.26	that if it's possible in the air,
986.26	of course it's possible in the ground.
989.26	And each time we have some ice in the future,
993.26	we have to know that life will be great,
996.26	and the success will be brilliant
999.26	if we dare to overcome our fear of the ice,
1002.26	to go through the obstacle,
1004.26	to go through the problem, in order to see what there is on the other side.
1008.26	So, you see, this is what we're doing on our side.
1012.26	Everyone has his goal, has his dreams,
1015.26	has his visions.
1018.26	The question I leave you with now
1020.26	is which is the ballast
1022.26	you would like to throw overboard?
1026.26	Which will be the altitude at which
1028.26	you would like to fly in your life,
1031.26	to get to the success that you wish to have,
1034.26	to get to the point that really belongs to you,
1038.26	with the potential you have,
1040.26	and the one you can really fulfill?
1043.26	Because the most renewable energy we have
1046.26	is our own potential, and our own passion.
1049.26	So, let's go for it, and I wish you an excellent adventure
1051.26	in the wings of the future. Thank you.
1053.26	(Applause)
