startsecond	text
518.33	I just had to go and build another machine.
520.33	But look here. Instead of blowing tanks
522.33	and coming up slowly without thinking about it,
524.33	it’s a little bit of back pressure,
526.33	and that sub just comes straight back up out of the water.
529.33	This is an internal Sony camera. Thank you, Sony.
535.33	I don’t really look that ugly,
537.33	but the camera is so close that it’s just distorted.
540.33	Now, there she goes, right overhead.
542.33	This is a wide-angle camera.
543.33	She’s just a few inches off the top of my head.
547.33	"""Aah, ha, oh, he just crossed over the top of my head about,"
554.33	"oh, I don’t know, just so close."""
559.33	I come back up, not for air.
560.33	"""This is an incredible encounter with a manta. I’m speechless."
566.33	"We’ve been just feet apart. I’m going back down now."""
569.33	Okay, can we cut that? Lights back up please.
572.33	(Applause)
577.33	Trying to fly and keep up with that animal --
580.33	it wasn’t the lack of maneuverability that we had.
584.33	It was the fact she was going so slow.
586.33	I actually designed that to move faster through the water
590.33	because I thought that was the thing
591.33	that we needed to do: to move fast and get range.
594.33	But after that encounter I really did want to go back with that animal and dance.
598.33	She wanted to dance.
601.33	And so what we needed to do was increase the wing area
604.33	so that we just had more grip, develop higher forces.
608.33	So the sub that was outside last year -- this is the one.
611.33	You see the larger wing area here.
615.33	Also, clearly, it was such a powerful thing,
617.33	we wanted to try and bring other people
618.33	but we couldn't figure out how to do it.
620.33	So we opened the world’s first flight school.
622.33	The rational for the world’s first flight school
625.33	goes something like: when the coastguards come up to me and say --
628.33	they used to leave us alone when we were diving
631.33	these goofy little spherical things,
633.33	but when we started flying around
634.33	in underwater jet fighters they got a little nervous --
637.33	they would come up and say,
641.33	"""Do you have a license for that?"""
644.33	And then I’d put my sunglasses on, the beard
646.33	that would all sprout out, and I would say,
648.33	"""I don’t need no stinking license."""
651.33	(Laughter)
654.33	"""I write these stinking license,"" which I do."
657.33	So Bob Gelfond's around here --
659.33	but somebody in the audience here has license number 20.
663.33	They’re one of the first subsea aviators.
666.33	So we’ve run two flight schools.
669.33	Where the hell that goes, I don’t know, but it’s a lot of fun.
674.33	What comes next in 30 seconds? I can’t tell you.
679.33	But the patent for underwater flight --
682.33	Karen and I, we were looking at it,
684.33	some business partners wanted us to patent it --
686.33	we weren’t sure about that.
687.33	We’ve decided we’re just going to let that go.
689.33	It just seems wrong to try and patent --
692.33	(Applause)
693.33	-- the freedom for underwater flight.
695.33	So anybody who wants to copy us
696.33	and come and join us, go for it.
699.33	The other thing is that we’ve got much lower costs.
704.33	We developed some other technology
705.33	called spider optics, and Craig Ventner asked me
709.33	to make an announcement here this morning:
711.33	we’re going to be building a beautiful, little,
713.33	small version of this -- unmanned, super deep --
716.33	for his boat to go and get back some deep sea DNA stuff.
721.33	(Applause)
724.33	Thank you.
